iter	Passed	Remaining
399	90205	21423
400	90417	21195
401	90655	20972
402	90871	20744
403	91094	20518
404	91320	20293
405	91537	20066
406	91769	19842
407	92003	19618
408	92237	19394
409	92465	19169
410	92690	18944
411	92916	18718
412	93138	18492
413	93364	18266
414	93578	18039
415	93798	17812
416	94015	17585
417	94234	17358
418	94460	17133
419	94688	16908
420	94906	16681
421	95134	16456
422	95364	16232
423	95586	16006
424	95816	15781
425	96042	15556
426	96264	15330
427	96492	15105
428	96717	14879
429	96945	14654
430	97162	14427
431	97386	14202
432	97615	13977
433	97833	13750
434	98061	13525
435	98286	13300
436	98514	13075
437	98728	12848
438	98957	12623
439	99187	12398
440	99407	12172
441	99624	11945
442	99849	11720
443	100071	11494
444	100290	11268
445	100517	11043
446	100743	10818
447	100975	10593
448	101201	10368
449	101429	10142
450	101653	9917
451	101873	9691
452	102108	9467
453	102321	9240
454	102538	9014
455	102776	8790
456	103007	8565
457	103234	8339
458	103465	8114
459	103692	7889
460	103908	7663
461	104135	7438
462	104355	7212
463	104575	6986
464	104793	6760
465	105018	6535
466	105244	6310
467	105463	6084
468	105678	5858
469	105899	5632
470	106113	5407
471	106341	5181
472	106575	4956
473	106797	4731
474	107023	4506
475	107248	4280
476	107473	4055
477	107693	3830
478	107918	3604
479	108138	3379
480	108364	3154
481	108589	2928
482	108816	2703
483	109041	2478
484	109263	2252
485	109491	2027
486	109704	1802
487	109931	1576
488	110156	1351
489	110369	1126
490	110599	901
491	110815	675
492	111031	450
493	111270	225
494	111491	0
