iter	PairLogit
0	0.5903884396
1	0.5339781709
2	0.4970846845
3	0.4738151684
4	0.4565278023
5	0.4421670584
6	0.430257816
7	0.4195281851
8	0.407500028
9	0.3977930651
10	0.3915821203
11	0.3857797576
12	0.3812837756
13	0.3781040637
14	0.3745110926
15	0.3701780473
16	0.3656366493
17	0.3587286335
18	0.3544370832
19	0.3505704435
20	0.3480831706
21	0.344578355
22	0.3417175667
23	0.3398540911
24	0.3375457753
25	0.334744119
26	0.333564018
27	0.3317188476
28	0.3300879227
29	0.3287519736
30	0.3251474277
31	0.3235613465
32	0.3216209952
33	0.319654441
34	0.3180627398
35	0.317333761
36	0.3160712555
37	0.3143950163
38	0.3136785477
39	0.3122080372
40	0.3109850749
41	0.3093376236
42	0.3082187571
43	0.3058202527
44	0.3049464885
45	0.3038588682
46	0.3020003633
47	0.3010773242
48	0.3002231452
49	0.2992096616
50	0.2969348422
51	0.2956885304
52	0.2949464394
53	0.293970885
54	0.2930077271
55	0.2915666785
56	0.290387886
57	0.2894039521
58	0.2888329502
59	0.287336542
60	0.2867503924
61	0.2863137172
62	0.2851914712
63	0.2846829961
64	0.2840812928
65	0.2835373077
66	0.2830106012
67	0.2826011919
68	0.2813203949
69	0.2807282686
70	0.2803492791
71	0.2794162401
72	0.2781174994
73	0.2777839023
74	0.2770977445
75	0.2765813678
76	0.2760032039
77	0.275742882
78	0.2751814775
79	0.274814768
80	0.2743450793
81	0.2737926386
82	0.2734442638
83	0.2727398702
84	0.2719719977
85	0.271636912
86	0.2711628974
87	0.2701184966
88	0.2695046293
89	0.2690995197
90	0.268480392
91	0.2681543555
92	0.2669368372
93	0.2664213227
94	0.2659383162
95	0.2652041068
96	0.2649172826
97	0.2644797988
98	0.2639515512
99	0.2635272506
100	0.2631818982
101	0.2626820458
102	0.2622758111
103	0.2618114631
104	0.2612980692
105	0.2609074215
106	0.2606564325
107	0.2602409604
108	0.2596234806
109	0.2589245238
110	0.2581576609
111	0.2575481613
112	0.257113572
113	0.2567696888
114	0.2562742069
115	0.255845162
116	0.2554029125
117	0.2549791043
118	0.2546219911
119	0.2542999997
120	0.2534598406
121	0.2530288289
122	0.2526933329
123	0.2522823596
124	0.2518680829
125	0.2514681067
126	0.2511367365
127	0.2505082738
128	0.2501895384
129	0.2498562776
130	0.2492141981
131	0.2489115734
132	0.2484392308
133	0.2480448621
134	0.2476596873
135	0.246964638
136	0.246529132
137	0.2461058401
138	0.2457946167
139	0.2455039094
140	0.245101629
141	0.2446683863
142	0.2439226753
143	0.2435621092
144	0.2431927102
145	0.2429265576
146	0.2426895227
147	0.2422759736
148	0.241763639
149	0.2413756854
150	0.241058833
151	0.2407610812
152	0.2404387523
153	0.2401052418
154	0.2397371915
155	0.2393683394
156	0.2383093847
157	0.2380587467
158	0.2376696782
159	0.2373487864
160	0.2369168992
161	0.2362760829
162	0.2361526242
163	0.2358515296
164	0.235370014
165	0.2346121197
166	0.2342894938
167	0.2340082899
168	0.2333835346
169	0.2329797678
170	0.2323351979
171	0.2318686754
172	0.2314682507
173	0.2310973607
174	0.2307898502
175	0.2304921143
176	0.2301114175
177	0.2297875357
178	0.2294911591
179	0.2292617641
180	0.2289859868
181	0.2285749605
182	0.2283674597
183	0.2280875782
184	0.2278209167
185	0.2274973392
186	0.2272195956
187	0.2268925131
188	0.2266145088
189	0.2263460749
190	0.2260998786
191	0.2259006147
192	0.2257038203
193	0.2254837067
194	0.2252378476
195	0.2248953018
196	0.2247063207
197	0.2243380421
198	0.223972362
199	0.2235649493
200	0.2234401093
201	0.2231712145
202	0.2229350866
203	0.2226746871
204	0.2224104891
205	0.2222968919
206	0.2220146902
207	0.2216397848
208	0.2214547271
209	0.2212173837
210	0.2209146185
211	0.2207241036
212	0.2204790537
213	0.2202152643
214	0.219958793
215	0.2196270143
216	0.2193519292
217	0.2191544972
218	0.2188446048
219	0.2186074366
220	0.2183325316
221	0.2180875675
222	0.2178845514
223	0.2172805123
